id,smiles,melting_point
Abecarnil,COCc3c(ncc4[nH]c2ccc(OCc1ccccc1)cc2c34)C(=O)OC(C)C,150
Acebutolol,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(c1)C(C)=O,119
Acecarbromal,CCC(Br)(CC)C(=O)NC(=O)NC(C)=O,109
Aceclofenac,OC(=O)COC(=O)Cc1ccccc1Nc2c(Cl)cccc2Cl,149
Acedapsone,CC(=O)Nc1ccc(cc1)S(=O)(=O)c2ccc(NC(C)=O)cc2,289
Acediasulfone,Nc1ccc(cc1)S(=O)(=O)c2ccc(NCC(O)=O)cc2,194
Aceglutamide,CC(=O)NC(CCC(N)=O)C(O)=O,197
Acemetacin,COc3ccc2n(C(=O)c1ccc(Cl)cc1)c(C)c(CC(=O)OCC(O)=O)c2c3,150
Acetaminophen,CC(=O)Nc1ccc(O)cc1,169
Acetaminosalol,CC(=O)Nc2ccc(OC(=O)c1ccccc1O)cc2,187
Acetorphan,CC(=O)SCC(Cc1ccccc1)C(=O)NCC(=O)OCc2ccccc2,89
Acetylpheneturide,CCC(C(=O)NC(=O)NC(C)=O)c1ccccc1,100
AcetylsalicylicAcid,CC(=O)Oc1ccccc1C(O)=O,142.4
Acyclovir,Nc2nc1n(COCCO)cnc1c(=O)[nH]2,255
Acifran,CC1(OC(=CC1=O)C(O)=O)c2ccccc2,176
Acitretin,COc1cc(C)c(C=CC(C)=CC=CC(C)=CC(O)=O)c(C)c1C,228
Adrafinil,ONC(=O)CS(=O)C(c1ccccc1)c2ccccc2,159
Ahistan,CN(C)CC(=O)N2c1ccccc1Sc3ccccc23,144
Albendazole,CCCSc2ccc1[nH]c(NC(=O)OC)nc1c2,208
Albutoin,CC(C)CC1NC(=S)N(CC=C)C1=O,210
Alclofenac,OC(=O)Cc1ccc(OCC=C)c(Cl)c1,92
Alibendol,COc1cc(CC=C)cc(C(=O)NCCO)c1O,95
Alizapiride,COc2cc1[nH]nnc1cc2C(=O)NCC3CCCN3CC=C,139
Alpidem,CCCN(CCC)C(=O)Cc1c(nc2ccc(Cl)cn12)c3ccc(Cl)cc3,140
Amidephrine,CNCC(O)c1cccc(NS(C)(=O)=O)c1,159
Aminorex,NC1=NCC(O1)c2ccccc2,136
Amisometradine,CC(=C)Cn1c(N)cc(=O)n(C)c1=O,175
Amphotalide,Nc3ccc(OCCCCCN2C(=O)c1ccccc1C2=O)cc3,113
Anileridine,CCOC(=O)C2(CCN(CCc1ccc(N)cc1)CC2)c3ccccc3,83
Antazoline,C3CN=C(CN(Cc1ccccc1)c2ccccc2)N3,120
Arprinocid,Nc2ncnc3n(Cc1c(F)cccc1Cl)cnc23,245
Atenolol,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,146
Atropine,CN1C2CCC1CC(C2)OC(=O)C(CO)c3ccccc3,114
Azacyclonol,OC(C1CCNCC1)(c2ccccc2)c3ccccc3,160
Bamipine,CN1CCC(CC1)N(Cc2ccccc2)c3ccccc3,114
Benactyzin,CCN(CC)CCOC(=O)C(O)(c1ccccc1)c2ccccc2,51
Benperidol,Fc1ccc(cc1)C(=O)CCCN2CCC(CC2)n3c(=O)[nH]c4ccccc34,170
Benzarone,CCc2oc1ccccc1c2C(=O)c3ccc(O)cc3,124.3
Benzoic acid,OC(=O)c1ccccc1,122.4
Benzydamine,CN(C)CCCOc2nn(Cc1ccccc1)c3ccccc23,160
Bezafibrate,CC(C)(Oc2ccc(CCNC(=O)c1ccc(Cl)cc1)cc2)C(O)=O,186
Bufexamac,CCCCOc1ccc(CC(=O)NO)cc1,153
Bupivacaine,CCCCN1CCCCC1C(=O)Nc2c(C)cccc2C,107
Buprenorphine,COC12CCC3(CC1C(C)(O)C(C)(C)C)C4Cc6ccc(O)c7OC2C3(CCN4CC5CC5)c67,209
Buramate,OCCOC(=O)NCc1ccccc1,40
Butalbital,CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O,138
CapobenicAcid,COc1cc(cc(OC)c1OC)C(=O)NCCCCCC(O)=O,121
Carbamazepine,NC(=O)N2c1ccccc1C=Cc3ccccc23,190
Carbaryl,CNC(=O)Oc1cccc2ccccc12,142
Carbutamide,CCCCNC(=O)NS(=O)(=O)c1ccc(N)cc1,144
Carisoprodol,CCCC(C)(COC(N)=O)COC(=O)NC(C)C,92
Caroxazone,NC(=O)CN2Cc1ccccc1OC2=O,203
Celiprolol,CCN(CC)C(=O)Nc1ccc(OCC(O)CNC(C)(C)C)c(c1)C(C)=O,110
Chlophedianol,CN(C)CCC(O)(c1ccccc1)c2ccccc2Cl,120
Chlorazanil,Nc2ncnc(Nc1ccc(Cl)cc1)n2,233
Chloroquine,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,87
Cimetidine,CNC(NCCSCc1nc[nH]c1C)=NC#N,141
Ciprofloxacin,OC(=O)c4cn(C1CC1)c3cc(N2CCNCC2)c(F)cc3c4=O,266
Clebopride,COc1cc(N)c(Cl)cc1C(=O)NC2CCN(CC2)Cc3ccccc3,194
Clometacin,COc3ccc2c(C(=O)c1ccc(Cl)cc1)c(C)n(CC(O)=O)c2c3,242
Clonidine,Clc1cccc(Cl)c1N=C2NCCN2,130
Cloranolol,CC(C)(C)NCC(O)COc1cc(Cl)ccc1Cl,82
Clotrimazole,Clc1ccccc1C(c2ccccc2)(c3ccccc3)n4ccnc4,147
Dapiprazole,Cc1ccccc1N2CCN(CC2)CCc3nnc4CCCCn34,158
Delavirdine,CC(C)Nc1cccnc1N2CCN(CC2)C(=O)c4cc3cc(NS(C)(=O)=O)ccc3[nH]4,226
Detomidine,Cc2cccc(Cc1c[nH]cn1)c2C,114
Dextromoramide,CC(CN1CCOCC1)C(C(=O)N2CCCC2)(c3ccccc3)c4ccccc4,180
Diaveridine,COc2ccc(Cc1cnc(N)nc1N)cc2OC,233
Dibenzepin,CN(C)CCN2C(=O)c1ccccc1N(C)c3ccccc23,116
Difenpiramide,O=C(Cc1ccc(cc1)c2ccccc2)Nc3ccccn3,122
Diphemethoxidine,OCCN1CCCCC1C(c2ccccc2)c3ccccc3,106
Econazole,Clc3ccc(COC(Cn1ccnc1)c2ccc(Cl)cc2Cl)cc3,86.8
Erdosteine,OC(=O)CSCC(=O)NC1CCSC1=O,156
Erythromycin,CCC3OC(=O)C(C)C(OC1CC(C)(OC)C(O)C(C)O1)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(C)(O)CC(C)C(=O)C(C)C(O)C3(C)O,135
EthinylEstradiol,CC34CCC1C(CCc2cc(O)ccc12)C3CCC4(O)C#C,141
Etisazol,CCNc1nsc2ccccc12,78
Famotidine,NC(N)=Nc1nc(CSCCC(N)=NS(N)(=O)=O)cs1,163
Febantel,COCC(=O)Nc2cc(Sc1ccccc1)ccc2N=C(NC(=O)OC)NC(=O)OC,129
Felbamate,NC(=O)OCC(COC(N)=O)c1ccccc1,151
Felodipine,CCOC(=O)C1=C(C)NC(=C(C1c2cccc(Cl)c2Cl)C(=O)OC)C,145
Fenpiprane,C1CCN(CC1)CCC(c2ccccc2)c3ccccc3,41
Florfenicol,CS(=O)(=O)c1ccc(cc1)C(O)C(CF)NC(=O)C(Cl)Cl,153
Fluanisone,COc1ccccc1N3CCN(CCCC(=O)c2ccc(F)cc2)CC3,67.5
Flumequine,CC1CCc2cc(F)cc3c(=O)c(cn1c23)C(O)=O,253
Flumetramide,FC(F)(F)c1ccc(cc1)C2CNC(=O)CO2,115.5
Flupirtine,CCOC(=O)Nc2ccc(NCc1ccc(F)cc1)nc2N,114
Flutoprazepam,Fc1ccccc1C3=NCC(=O)N(CC2CC2)c4ccc(Cl)cc34,118
Furonazide,CC(=NNC(=O)c1ccncc1)c2ccco2,199
Gemfibrozil,Cc1ccc(C)c(OCCCC(C)(C)C(O)=O)c1,61
Glisoxepid,Cc1cc(no1)C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)NN3CCCCCC3,189
Glyburide,COc1ccc(Cl)cc1C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)NC3CCCCC3,169
Glymidine,COCCOc2cnc(NS(=O)(=O)c1ccccc1)nc2,152
Griseofulvin,COC1=CC(=O)CC(C)C13Oc2c(Cl)c(OC)cc(OC)c2C3=O,219
Guanoxan,NC(=N)NCC2COc1ccccc1O2,164
Haloperidol,OC2(CCN(CCCC(=O)c1ccc(F)cc1)CC2)c3ccc(Cl)cc3,148
Haloxazolam,Fc1ccccc1C23OCCN2CC(=O)Nc4ccc(Br)cc34,185
Hydrochlorothiazide,NS(=O)(=O)c2cc1c(NCNS1(=O)=O)cc2Cl,267
Hydrocortisone,CC13CCC(=O)C=C1CCC4C2CCC(O)(C(=O)CO)C2(C)CC(O)C34,223
Hydroflumethiazide,NS(=O)(=O)c2cc1c(NCNS1(=O)=O)cc2C(F)(F)F,272
Ibafloxacin,c1(c(c3c2c(c1)C(=O)C(=CN2C(CC3)C)C(=O)O)C)F,269
Ibuprofen,CC(C)Cc1ccc(cc1)C(C)C(O)=O,75
Ifenprodil,CC(C(O)c1ccc(O)cc1)N2CCC(CC2)Cc3ccccc3,114
Indoramin,O=C(NC1CCN(CC1)CCc2c[nH]c3ccccc23)c4ccccc4,208
Irbesartan,CCCCC2=NC1(CCCC1)C(=O)N2Cc3ccc(cc3)c4ccccc4c5nnn[nH]5,180
Isoniazid,NNC(=O)c1ccncc1,171.4
Isoxsuprine,CC(COc1ccccc1)NC(C)C(O)c2ccc(O)cc2,102.5
Ketobemidone,CCC(=O)C1(CCN(C)CC1)c2cccc(O)c2,156
Ketoprofen,CC(C(O)=O)c1cccc(c1)C(=O)c2ccccc2,94
Letosteine,CCOC(=O)CSCCC1NC(CS1)C(O)=O,142
Letrozole,N#Cc1ccc(cc1)C(c2ccc(C#N)cc2)n3cncn3,181
Lofexidine,CC(Oc1c(Cl)cccc1Cl)C2=NCCN2,126
Lorazepam,OC3N=C(c1ccccc1Cl)c2cc(Cl)ccc2NC3=O,166
Lotrifen,Clc1ccc(cc1)c4nc3c2ccccc2ccn3n4,238
Medmain,CCc1c(C)[nH]c2ccc(cc12)N(C)C,100
MelengestrolAcetate,CC(=O)OC3(C(C)=O)C(=C)CC4C2C=C(C)C1=CC(=O)CCC1(C)C2CCC34C,224
Mepiprazole,Cc3cc(CCN1CCN(CC1)c2cccc(Cl)c2)n[nH]3,106
Metaproterenol,CC(C)NCC(O)c1cc(O)cc(O)c1,100
Methallatal,C1(=O)C(CC)(CC(=C)C)C(=O)NC(=S)N1,160
Metizoline,Cc2sc1ccccc1c2CC3=NCCN3,156
Metoclopramide,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,146.5
Metopimazine,CS(=O)(=O)c4ccc3Sc1ccccc1N(CCCN2CCC(CC2)C(N)=O)c3c4,170
Modafinil,NC(=O)CS(=O)C(c1ccccc1)c2ccccc2,164
Molindone,CCc2c(C)[nH]c3CCC(CN1CCOCC1)C(=O)c23,180
Moperone,Cc1ccc(cc1)C3(O)CCN(CCCC(=O)c2ccc(F)cc2)CC3,118
Morazone,CC1C(OCCN1Cc3c(C)n(C)n(c2ccccc2)c3=O)c4ccccc4,149
Moxaverine,CCc3cc1cc(OC)c(OC)cc1c(Cc2ccccc2)n3,78
Moxestrol,COC3CC1(C)C(CCC1(O)C#C)C4CCc2cc(O)ccc2C34,280
Nadolol,CC(C)(C)NCC(O)COc1cccc2CC(O)C(O)Cc12,124
Naproxen,COc2ccc1cc(ccc1c2)C(C)C(O)=O,152
Novonal,CCC(CC)(CC=C)C(N)=O,75
Noxythiolin,OCNC(=S)NC,88
Omeprazole,COc2ccc1[nH]c(nc1c2)S(=O)Cc3ncc(C)c(OC)c3C,156
Orotic acid,OC(=O)c1cc(=O)[nH]c(=O)[nH]1,345
Oxazepam,OC3N=C(c1ccccc1)c2cc(Cl)ccc2NC3=O,205
Oxibendazole,CCCOc2ccc1[nH]c(NC(=O)OC)nc1c2,230
Pentifylline,OC4CCN(CCCN2c1ccccc1Sc3ccc(C#N)cc23)CC4,82
Perphenazine,OCCN4CCN(CCCN2c1ccccc1Sc3ccc(Cl)cc23)CC4,94
Phenallymal,C=CCC1(C(=O)NC(=O)NC1=O)c2ccccc2,156
Phencarbamide,CCN(CC)CCSC(=O)N(c1ccccc1)c2ccccc2,48
Phenindamine,CN1CCC3=C(C1)C(c2ccccc2)c4ccccc34,91
Phenocoll,CCOc1ccc(NC(=O)CN)cc1,100.5
Phenopyrazone,O=C1NN(C(=O)C1c2ccccc2)c3ccccc3,233
Pindolol,CC(C)NCC(O)COc1cccc2[nH]ccc12,170
Piperidione,CCC1(CC)C(=O)CCNC1=O,102
Pipobroman,BrCCC(=O)N1CCN(CC1)C(=O)CCBr,106
Piposulfan,CS(=O)(=O)OCCC(=O)N1CCN(CC1)C(=O)CCOS(C)(=O)=O,175
Piprozolin,CCOC(=O)C=C2SC(N1CCCCC1)C(=O)N2CC,86
Piroxicam,CN2C(=C(O)c1ccccc1S2(=O)=O)C(=O)Nc3ccccn3,198
Pirozadil,COc1cc(cc(OC)c1OC)C(=O)OCc3cccc(COC(=O)c2cc(OC)c(OC)c(OC)c2)n3,119
Praziquantel,O=C1CN(CC2N1CCc3ccccc23)C(=O)C4CCCCC4,136
Prazosin,COc2cc1nc(nc(N)c1cc2OC)N3CCN(CC3)C(=O)c4ccco4,285
Pridinol,OC(CCN1CCCCC1)(c2ccccc2)c3ccccc3,120
Promethazine,CC(CN2c1ccccc1Sc3ccccc23)N(C)C,60
Propallylonal,CC(C)C1(CC(Br)=C)C(=O)NC(=O)NC1=O,177
Propoxyphene,CCC(=O)OC(Cc1ccccc1)(C(C)CN(C)C)c2ccccc2,75
Propranolol,CC(C)NCC(O)COc1cccc2ccccc12,162
Pyrazinamide,NC(=O)c1cnccn1,189
Ranitidine,CNC(NCCSCc1ccc(CN(C)C)o1)=CN(=O)=O,69
Salicylic acid,OC(=O)c1ccccc1O,157
Seratrodast,CC1=C(C)C(=O)C(=C(C)C1=O)C(CCCCCC(O)=O)c2ccccc2,128
Sertaconazole,Clc4ccc(C(Cn1ccnc1)OCc2csc3c(Cl)cccc23)c(Cl)c4,146
Spiperone,Fc1ccc(cc1)C(=O)CCCN2CCC3(CC2)N(CNC3=O)c4ccccc4,190
Succisulfone,Nc1ccc(cc1)S(=O)(=O)c2ccc(NC(=O)CCC(O)=O)cc2,157
Sulfamerazine,Cc2ccnc(NS(=O)(=O)c1ccc(N)cc1)n2,234
Sulpiride,CCN1CCCC1CNC(=O)c2cc(ccc2OC)S(N)(=O)=O,178
Tamoxifen,CCC(=C(c1ccccc1)c2ccc(OCCN(C)C)cc2)c3ccccc3,96
Taurolidine,O=S1(=O)CCN(CN1)CN2CCS(=O)(=O)NC2,154
Theophylline,Cn2c(=O)n(C)c1nc[nH]c1c2=O,270
Thialbarbital,C=CCC2(C1CCCC=C1)C(=O)NC(=S)NC2=O,148
Thozalinone,CN(C)C1=NC(=O)C(O1)c2ccccc2,133
Tolrestat,COc2ccc1c(cccc1c2C(F)(F)F)C(=S)N(C)CC(O)=O,164
Toremifene,CN(C)CCOc1ccc(cc1)C(=C(CCCl)c2ccccc2)c3ccccc3,108
Tropicamide,CCN(Cc1ccncc1)C(=O)C(CO)c2ccccc2,96
Tyramine,NCCc1ccc(O)cc1,164
Urapidil,COc1ccccc1N3CCN(CCCNc2cc(=O)n(C)c(=O)n2C)CC3,156
Valsartan,CCCCC(=O)N(Cc1ccc(cc1)c2ccccc2c3nnn[nH]3)C(C(C)C)C(O)=O,116
Velnacrine,Nc2c1C(O)CCCc1nc3ccccc23,245
Vinylbital,CCCC(C)C1(C=C)C(=O)NC(=O)NC1=O,90
Warfarin,CC(=O)CC(c1ccccc1)c3c(O)c2ccccc2oc3=O,161
Xibenolol,Cc1cccc(OCC(O)CNC(C)(C)C)c1C,57
Zafirlukast,COc1cc(ccc1Cc3cn(C)c4ccc(NC(=O)OC2CCCC2)cc34)C(=O)NS(=O)(=O)c5ccccc5C,138
Zipeprol,COC(CN1CCN(CC1)CC(O)C(OC)c2ccccc2)c3ccccc3,83
Zomepirac,Cc1cc(CC(O)=O)n(C)c1C(=O)c2ccc(Cl)cc2,178
Zopolrestat,OC(=O)Cc3nn(Cc2nc1cc(ccc1s2)C(F)(F)F)c(=O)c4ccccc34,197
Zoxazolamine,Nc2nc1cc(Cl)ccc1o2,184
Acefylline,Cn2c(=O)n(C)c1ncn(CC(O)=O)c1c2=O,271
Acetohexamide,CC(=O)c1ccc(cc1)S(=O)(=O)NC(=O)NC2CCCCC2,188
Amobarbital,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,156
Amphenidone,Nc1cccc(c1)n2ccccc2=O,182.5
Amphetaminil,CC(Cc1ccccc1)NC(C#N)c2ccccc2,85
Apazone,CCCC1C(=O)N3N(C1=O)c2cc(C)ccc2N=C3N(C)C,228
Astemizole,COc5ccc(CCN1CCC(CC1)Nc3nc2ccccc2n3Cc4ccc(F)cc4)cc5,149.1
Bamethan,CCCCNCC(O)c1ccc(O)cc1,123.5
Benzetimide,O=C3CCC(C1CCN(CC1)Cc2ccccc2)(C(=O)N3)c4ccccc4,156
Bucetin,CCOc1ccc(NC(=O)CC(C)O)cc1,160
Cetoxime,NC(CN(Cc1ccccc1)c2ccccc2)=NO,107
DimecroticAcid,COc1ccc(C(C)=CC(O)=O)c(OC)c1,149
Doxofylline,Cn3c(=O)n(C)c2ncn(CC1OCCO1)c2c3=O,144
Erythrocentaurin,c1cc(C=O)c2CCOC(c2c1)=O,140
Ethopropazine,CCN(CC)C(C)CN2c1ccccc1Sc3ccccc23,53
Fadrozole,N#Cc1ccc(cc1)C2CCCc3cncn23,117
Fentanyl,CCC(=O)N(C1CCN(CC1)CCc2ccccc2)c3ccccc3,83
Fexofenadine,CC(C)(C(O)=O)c1ccc(cc1)C(O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4,142
Flurbiprofen,CC(C(O)=O)c1ccc(c(F)c1)c2ccccc2,110
Fosfosal,OC(=O)c1ccccc1OP(O)(O)=O,168
Glibornuride,Cc1ccc(cc1)S(=O)(=O)NC(=O)NC2C(O)C3(C)CCC2C3(C)C,192
Halazepam,FC(F)(F)CN2C(=O)CN=C(c1ccccc1)c3cc(Cl)ccc23,164
Heptabarbital,CCC1(C(=O)NC(=O)NC1=O)C2=CCCCCC2,174
Hycanthone,CCN(CC)CCNc2ccc(CO)c3sc1ccccc1c(=O)c23,100.6
Hymecromone,CC1CCc2c(C)c(F)cc3c(=O)c(cn1c23)C(O)=O,194
Ipriflavone,CC(C)Oc2ccc1c(=O)c(coc1c2)c3ccccc3,115
Ipsapirone,O=C3N(CCCCN1CCN(CC1)c2ncccn2)S(=O)(=O)c4ccccc34,137
Isbogrel,OC(=O)CCCCC=C(c1ccccc1)c2cccnc2,114
Isosorbide,OC1COC2C(O)COC12,61
Ketoconazole,CC(=O)N1CCN(CC1)c5ccc(OCC3COC(Cn2ccnc2)(O3)c4ccc(Cl)cc4Cl)cc5,146
Lidoflazine,Cc1cccc(C)c1NC(=O)CN4CCN(CCCC(c2ccc(F)cc2)c3ccc(F)cc3)CC4,159
Limaprost,CCCCC(C)CC(O)C=CC1C(O)CC(=O)C1CCCCC=CC(O)=O,97
Lonidamine,OC(=O)c2nn(Cc1ccc(Cl)cc1Cl)c3ccccc23,207
Mafenide,NCc1ccc(cc1)S(N)(=O)=O,151
Maprotiline,CNCCCC13CCC(c2ccccc12)c4ccccc34,92
Mebutamate,CCC(C)C(C)(COC(N)=O)COC(N)=O,77
Mecloqualone,Cc2nc1ccccc1c(=O)n2c3ccccc3Cl,126
Mephenytoin,CCC1(NC(=O)N(C)C1=O)c2ccccc2,136
Mephobarbital,CCC1(C(=O)NC(=O)N(C)C1=O)c2ccccc2,176
Meprobamate,CCCC(C)(COC(N)=O)COC(N)=O,104
Methdilazine,CN1CCC(C1)CN3c2ccccc2Sc4ccccc34,87
Methetoin,CCC1(NC(=O)N(C)C1=O)c2ccccc2,210
Metolazone,CC2Nc1cc(Cl)c(cc1C(=O)N2c3ccccc3C)S(N)(=O)=O,252
Metralindole,COc4ccc3n1CCN(C)C2=NCCc(c12)c3c4,164
Moricizine,CCOC(=O)Nc4ccc3Sc1ccccc1N(C(=O)CCN2CCOCC2)c3c4,156
Morphazinamide,O=C(NCN1CCOCC1)c2cnccn2,118.5
Nabumetone,COc2ccc1cc(CCC(C)=O)ccc1c2,80
Nomifensine,CN3CC(c1ccccc1)c2cccc(N)c2C3,179
Ondansetron,Cc1nccn1CC2CCc4c(C2=O)c3ccccc3n4C,231
Oxaprozin,OC(=O)CCc2nc(c1ccccc1)c(o2)c3ccccc3,160.5
Oxazolam,CC3CN2CC(=O)Nc1ccc(Cl)cc1C2(O3)c4ccccc4,186
Pazufloxacin,CC1COc2c(c(F)cc3c(=O)c(cn1c23)C(O)=O)C4(N)CC4,269
Penbutolol,CC(C)(C)NCC(O)COc1ccccc1C2CCCC2,68
Perciyazine,N1(c2c(ccc(c2)C#N)Sc2c1cccc2)CCCN1CCC(O)CC1 ,116
Phenadoxone,CCC(=O)C(CC(C)N1CCOCC1)(c2ccccc2)c3ccccc3,75
Phenazopyridine,Nc2ccc(N=Nc1ccccc1)c(N)n2,139
Phenytoin,O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3,295
Plafibride,CC(C)(Oc1ccc(Cl)cc1)C(=O)NC(=O)NCN2CCOCC2,100
Primidone,CCC1(C(=O)NCNC1=O)c2ccccc2,281
Probenecid,CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(O)=O,198
Proglumide,CCCN(CCC)C(=O)C(CCC(O)=O)NC(=O)c1ccccc1,142
Propizepine,CC(CN2C(=O)c1cccnc1Nc3ccccc23)N(C)C,122
Pyrinoline,OC(C1=CC(C=C1)=C(c2ccccn2)c3ccccn3)(c4ccccn4)c5ccccn5,146.5
Salacetamide,CC(=O)NC(=O)c1ccccc1O,148
Simetride,CCCc3ccc(OCC(=O)N1CCN(CC1)C(=O)COc2ccc(CCC)cc2OC)c(OC)c3,128
Skf105657,O=CC(=CC1=CCC2C3C1(CC2)CC1C(C)(CC3)C(CC1)C(=O)NC(C)(C)C)O,257
Sulthiame,NS(=O)(=O)c1ccc(cc1)N2CCCCS2(=O)=O,180
Sumatriptan,CNS(=O)(=O)Cc2ccc1[nH]cc(CCN(C)C)c1c2,169
Terbutaline,CC(C)(C)NCC(O)c1cc(O)cc(O)c1,119
Testosterone,CC34CCC1C(CCC2=CC(=O)CCC12C)C3CCC4O,153
Thenaldine,CN1CCC(CC1)N(Cc2cccs2)c3ccccc3,95
Tirofiban,CCCCS(=O)(=O)NC(Cc2ccc(OCCCCC1CCNCC1)cc2)C(O)=O,223
Tolazamide,Cc1ccc(cc1)S(=O)(=O)NC(=O)NN2CCCCCC2,170
Tolindate,CN(C(=S)Oc2ccc1CCCc1c2)c3cccc(C)c3,94
Torsemide,CC(C)NC(=O)NS(=O)(=O)c1cnccc1Nc2cccc(C)c2,163
Trimipramine,CC(CN(C)C)CN2c1ccccc1CCc3ccccc23,45
Tulobuterol,CC(C)(C)NCC(O)c1ccccc1Cl,89
Ubenimex,CC(C)CC(NC(=O)C(O)C(N)Cc1ccccc1)C(O)=O,233
Ujothion,OC(=O)CN1CSC(=S)N(C1)Cc2ccccc2,152
Ursodiol,CC13CCC(O)CC1CC(O)C4C2CCC(C(C)CCC(=O)O)C2(C)CCC34,203
Valnoctamide,CCC(C)C(CC)C(N)=O,113.5
Vamicamide,CC(CC(C(N)=O)(c1ccccc1)c2ccccn2)N(C)C,156
Verazide,COc2ccc(C=NNC(=O)c1ccncc1)cc2OC,189
Vigabatrin,NC(CCC(O)=O)C=C,209
Vinconate,CCN1CCc3c2C1CC=C(C(=O)OC)n2c4ccccc34,120
Ximoprofen,CC(C(O)=O)c1ccc(cc1)C2CCCC(C2)=NO,178
Xylometazoline,Cc1cc(cc(C)c1CC2=NCCN2)C(C)(C)C,131
Yohimbine,COC(=O)C4C(O)CCC5CN3CCc1c([nH]c2ccccc12)C3CC45,234
Zidovudine,Cc2cn(C1CC(N=[N+]=[N-])C(CO)O1)c(=O)[nH]c2=O,106
Zileuton,CC(N(O)C(N)=O)c2cc1ccccc1s2,157
Zolimidine,CS(=O)(=O)c1ccc(cc1)c3cn2ccccc2n3,242
Zotepine,CN(C)CCOC2=Cc1ccccc1Sc3ccc(Cl)cc23,90
